['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้นำระเบิดแสวงเครื่องหนัก 5 ก.ก.จุดชนวนด้วยรีโมตคอนโทรลไปวางไว้ที่ริมถนนสายบาเจาะ-บ้านทอนช่วงบริเวณบ้านดูกู ม.3 ต.บลาเจาะ ||| และได้จุดชนวนระเบิด
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นคนขับ ||| และอ้างไม่ได้ร่วมแก๊งขโมย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นญาติผู้ต้องหา ||| และรับค่าจ้างอำนวยความสะดวกเรื่องเส้นทางคันละ 5,000 บาท
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลอกให้ชาวบ้านดาวน์รถให้ ||| แล้วแอบปั๊มกุญแจเพื่อขโมยรถยนต์ส่งขายที่กรุงเทพฯ ได้ค่าจ้างคันละ 2-3 หมื่นบาท
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ได้ร่วมกับพวกหลอกให้ชาวบ้านดาวน์รถให้ แล้วแอบปั๊มกุญแจเพื่อขโมยรถยนต์ส่งขายที่กรุงเทพฯ ได้ค่าจ้างคันละ 2-3 หมื่นบาท ||| จากนั้นผู้รับซื้อจะนำรถไปสวมซากแล้วส่งต่อไปขายในเขตพื้นที่จ.ราชบุรี หรือ กาญจนบุรีส่วนจะส่งขายประเทศเพื่อนบ้านหรือไม่ยังไม่ทราบ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| นำรถไปสวมซาก ||| แล้วส่งต่อไปขายในเขตพื้นที่จ.ราชบุรี หรือ กาญจนบุรี
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ผู้รับซื้อจะนำรถไปสวมซากแล้วส่งต่อไปขายในเขตพื้นที่จ.ราชบุรี หรือ กาญจนบุรี ||| ส่วนจะส่งขายประเทศเพื่อนบ้านหรือไม่ยังไม่ทราบ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ผู้รับซื้อจะนำรถไปสวมซากแล้วส่งต่อไปขายในเขตพื้นที่จ.ราชบุรี หรือ กาญจนบุรีส่วนจะส่งขายประเทศเพื่อนบ้านหรือไม่ยังไม่ทราบ ||| นอกจากนี้ยังใช้วิธีให้คนในเครือข่ายนำเงินไปดาวน์รถกระบะโตโยต้า วีโก้ ในราคา 25 เปอร์เซ็นต์ โดยไม่ต้องมีคนค้ำประกัน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อนำรถออกจากโชว์รูมแล้ว ||| ก็จะไปแจ้งความรถหายต่อตำรวจนอกพื้นที่ที่ไปซื้อรถ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ซื้อรถใหม่ ||| หลังจากมีการดาวน์แล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ทางบริษัทรถจะทำประกันชั้น 1 ไว้ให้โดยอัตโนมัติอยู่แล้ว ||| จึงได้เงิน 2 ต่อ คือ ค่าประกันรถหาย และเงินจากการขายรถให้เอเย่นต์ที่กรุงเทพฯ ในราคารถกระบะ 4 ประตู จำนวน 2 แสนบาท ส่วนรถกระบะ 2 ประตู จำนวน 1 แสนบาท ขึ้นอยู่กับรุ่นและออปชั่นของรถคันนั้น
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| นายวิรัตน์ เปิดกิจการเต็นท์รถมือสองอยู่ที่กรุงเทพฯ ||| ส่วนนายวัฒน์เปิดกิจการเต็นท์รถมือสองอยู่ที่จ.นครศรีธรรมราช
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อมีลูกค้ามาติดต่อขอซื้อรถมือสอง ||| จะแนะนำให้ไปซื้อรถใหม่โดยเฉพาะรถกระบะโตโยต้าวีโก้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| จะอ้างว่ารู้จักกับเจ้าโชว์รูมรถ ||| และจะพาลูกค้าไปเจรจาขอซื้อรถมือหนึ่งด้วยตัวเอง
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อมีการ ตกลงซื้อขายกันแล้ว ||| ทั้งคู่ก็จะแสดงตัวว่าสนิทสนมกับผู้ซื้อรถ โดยการพูดจาหว่านล้อมจนเจ้าของให้ขับรถออกไปด้วยกัน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| พูดจาหว่านล้อม ||| จนเจ้าของให้ขับรถออกไปด้วยกัน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อได้จังหวะ ||| ก็จะขโมยรถ โดยการแอบนำกุญแจไปปั๊ม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เมื่อได้จังหวะก็จะขโมยรถ โดยการแอบนำกุญแจไปปั๊ม ||| นอกจากนี้ยังใช้วิธีติดตามเจ้าของรถว่านำรถไปจอดไว้บริเวณใด
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ยังใช้วิธีติดตามเจ้าของรถว่านำรถไปจอดไว้บริเวณใด ||| จากนั้นก็จะใช้กุญแจผีหรือไม้บรรทัดเหล็กเปิดล็อกประตูรถและขับหนีไป
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เปิดล็อกประตูรถ ||| และขับหนีไป
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ก็จะใช้กุญแจผีหรือไม้บรรทัดเหล็กเปิดล็อกประตูรถและขับหนีไป ||| แล้วนำไปสวมทะเบียนปลอมส่งขายฝั่งประเทศลาวพม่า
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ทำให้ พ.อ.สุทธิศักดิ์ และทหารอีก 1 นาย เสียชีวิตทันทีในที่เกิดเหตุ ||| นอกจากนี้ยังมีทหารได้รับบาดเจ็บอีก 5 นาย คือ พลทหารณัฐพงศ์ หามกิ่ง อายุ 24 ปี ร.อ.วาริส ทรวงโพธิ์ อายุ 30 ปี พลทหารสมศักดิ์ จันทร์เจริญ อายุ 25 ปี ส.อ.วีระพงษ์ จันทรวงศ์ อายุ 30 ปี และ ส.ท.อนุวัฒน์ อินทร์แย้ม อายุ 24 ปี ถูกนำตัวส่งโรงพยาบาลศูนย์ยะลาแล้ว
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อรถวิ่งมาถึงจุดเกิดเหตุ ||| คนร้ายที่คาดว่าซุ่มอยู่ในละแวกใกล้เคียง จึงกดชนวนระเบิดแสวงเครื่องที่ได้แอบฝังไว้ใต้ถนน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| พ.อ.สุทธิศักดิ์ เสียชีวิต พร้อมลูกน้อง 1 นาย ||| และบาดเจ็บอีก 5 นายดังกล่าว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นห่วง ||| และอยากได้การแก้ปัญหาความไม่สงบในพื้นที่ 3 จังหวัดชายแดนภาคใต้เป็นของขวัญครบรอบวันเกิด
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ให้สัมภาษณ์เรื่องนี้ก่อนออกเดินทางไปปฏิบัติราชการในพื้นที่จังหวัดชายแดนภาคใต้ เมื่อเวลา 06.30 น. วันที่ 26 สิงหาคม ว่า ตามที่ พล.อ.เปรมมีแนวคิดหลายโครงการ เช่น การนำเยาวชนเข้ามาให้การช่วยเหลือและให้ไปพักกับครอบครัวในกรุงเทพฯ ส่วนอีกโครงการที่คณะของท่านกำลังจะดำเนินการ คือเรื่องปอเนาะ ตัวอย่าง ที่กำลังเริ่มดำเนินการ โดยได้พูดคุยกับกระทรวงศึกษาธิการแล้ว ทางกองทัพก็จะเข้าไปเสริมให้สอดคล้องกัน เพราะอยู่ในพื้นที่อยู่แล้ว ||| ออกเดินทางไปปฏิบัติราชการในพื้นที่จังหวัดชายแดนภาคใต้ เมื่อเวลา 06.30 น. วันที่ 26 สิงหาคม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ให้การช่วยเหลือ ||| และให้ไปพักกับครอบครัวในกรุงเทพฯ
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| จะเข้าไปเสริมให้สอดคล้องกัน ||| เพราะอยู่ในพื้นที่อยู่แล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ตอนนี้ต้องรองบประมาณก่อน ||| เพราะเป็นสิ่งสำคัญ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อมีคนเข้ามา ||| ต้องมีค่าใช้จ่าย ต้องมีงบดูแล
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เมื่อมีคนเข้ามาต้องมีค่าใช้จ่าย ต้องมีงบดูแล ||| และเมื่อได้งบมาแล้วก็จะทยอยบรรจุคนเข้าไป ไม่ใช่บรรจุทีเดียว 30 กองร้อย
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อได้งบมาแล้ว ||| ก็จะทยอยบรรจุคนเข้าไป ไม่ใช่บรรจุทีเดียว 30 กองร้อย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีการสกรีนคน ||| และเกาะติดทั้งประชาชนในพื้นที่
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ลดเงื่อนไข ||| และป้องกัน
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ปัญหาการก่อเหตุร้ายรายวันในพื้นที่จังหวัดชายแดนใต้ ที่ยังคงเกิดขึ้นอย่างต่อเนื่อง เป็นไปตามยุทธศาสตร์ของกลุ่มก่อความไม่สงบ ที่ต้องการแสดงศักยภาพให้นานาชาติเห็นว่ายังคงมีปัญหาในพื้นที่ซึ่งโดยส่วนตัวเชื่อว่าเหตุการณ์จะไม่รุนแรงมากไปกว่าที่เป็นอยู่ ||| อย่างไรก็ตามได้มีการสั่งการเพิ่มความเข้มในการปฏิบัติงานของเจ้าหน้าที่ตลอดเวลา ซึ่งเชื่อว่าจะสามารถสร้างความมั่นใจให้กับประชาชนได้
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| แม้ว่าจะต้องใช้เวลาบ้างก็ตาม ||| แต่อย่างน้อยชาวบ้านในพื้นที่ก็ได้รับรู้อย่างหนึ่งว่า มีคนระดับสูงยังเป็นห่วงและจริงจังที่จะคลี่คลายสถานการณ์ความไม่สงบให้กับชาวบ้าน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ยังเป็นห่วง ||| และจริงจังที่จะคลี่คลายสถานการณ์ความไม่สงบให้กับชาวบ้าน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| โครงการปอเนาะตัวอย่าง ถือเป็นการให้ชุมชน ผู้นำศาสนา เข้ามามีส่วนร่วมแก้ไขปัญหา ||| เพราะรากฐานของความเข้าใจข้อเท็จจริงทั้งหมด ถือว่าสถาบันศึกษาปอเนาะเป็นจุดที่สำคัญและเป็นแหล่งเริ่มต้นเพื่อนำไปสู่การปรับทัศนคติของเยาวชนในด้านบวก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นจุดที่สำคัญ ||| และเป็นแหล่งเริ่มต้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นการแก้ปัญหาที่ตรงจุด ||| อีกทั้งเป็นการวางแผนคืนความสันติสุขในระยะยาวอีกด้วย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เข้ามาอบรม ||| และให้ความรู้แก่บุคลากรทางด้านศาสนาเหล่านี้เสียก่อน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เราพร้อมสนองตอบทันทีกับแนวคิดของ พล.อ.เปรม ||| เพราะทุกฝ่ายต่างเห็นพ้องว่าเป็นแนวทางที่เข้าถึงกระบวนการมีส่วนร่วมของผู้เกี่ยวข้องในระดับรากหญ้าของพื้นที่ชายแดนภาคใต้มากที่สุด
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| เราพร้อมสนองตอบทันทีกับแนวคิดของ พล.อ.เปรมเพราะทุกฝ่ายต่างเห็นพ้องว่าเป็นแนวทางที่เข้าถึงกระบวนการมีส่วนร่วมของผู้เกี่ยวข้องในระดับรากหญ้าของพื้นที่ชายแดนภาคใต้มากที่สุด นายอับดุลเราะแม กล่าว ||| ส่วนนายนิมุ มะกาเจ อดีตรองประธานคณะกรรมการอิสลาม จ.ยะลา เปิดเผยว่า แนวทางสถานการณ์ทางการเมืองขณะนี้ ถือว่าอยู่ในช่วงหัวเลี้ยวหัวต่อ
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ส่งผลให้ฝ่ายความมั่นคงจำเป็นต้องจับตาสถานการณ์อย่างใกล้ชิด ||| ขณะเดียวกันก็อย่ามุ่งแต่เรื่องการเมืองด้านเดียวเพราะปัญหา 3 จังหวัดชายแดนภาคใต้ ก็ยังต้องพึ่งการช่วยเหลือ ดูแลรักษาความปลอดภัยจากกำลังฝ่ายความมั่นคงเช่นเดียวกันเพราะหากเกิดอาการย่อหย่อน เชื่อว่าความรุนแรงในพื้นที่อาจจะปะทุขึ้นได้
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ก็อย่ามุ่งแต่เรื่องการเมืองด้านเดียว ||| เพราะปัญหา 3 จังหวัดชายแดนภาคใต้ ก็ยังต้องพึ่งการช่วยเหลือ ดูแลรักษาความปลอดภัยจากกำลังฝ่ายความมั่นคงเช่นเดียวกันเพราะหากเกิดอาการย่อหย่อน เชื่อว่าความรุนแรงในพื้นที่อาจจะปะทุขึ้นได้
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ปัญหา 3 จังหวัดชายแดนภาคใต้ ก็ยังต้องพึ่งการช่วยเหลือ ดูแลรักษาความปลอดภัยจากกำลังฝ่ายความมั่นคงเช่นเดียวกัน ||| เพราะหากเกิดอาการย่อหย่อน เชื่อว่าความรุนแรงในพื้นที่อาจจะปะทุขึ้นได้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| น่าเชื่อถือ ||| และไว้วางใจ
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ระยะนี้เป็นช่วงที่ต้องเฝ้าระวังอย่างเต็มที่ ||| เนื่องจากเป็นช่วงเวลาที่คาบเกี่ยวกับข้อมูลที่หน่วยข่าวกรองแจ้งเตือนระวังกลุ่มขบวนการก่อเหตุความไม่สงบจะก่อเหตุระลอกใหญ่ในพื้นที่ 3 จังหวัดใต้ในวันที่ 31 สิงหาคม พร้อมๆ
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ระยะนี้เป็นช่วงที่ต้องเฝ้าระวังอย่างเต็มที่ เนื่องจากเป็นช่วงเวลาที่คาบเกี่ยวกับข้อมูลที่หน่วยข่าวกรองแจ้งเตือนระวังกลุ่มขบวนการก่อเหตุความไม่สงบจะก่อเหตุระลอกใหญ่ในพื้นที่ 3 จังหวัดใต้ในวันที่ 31 สิงหาคม พร้อมๆ ||| จึงได้กำชับให้เจ้าหน้าที่เตรียมความพร้อมรับมือกับสถานการณ์อย่างเต็มที่
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ทำลายช่องทางการนำเงินเข้าประเทศ คือ การท่องเที่ยวอย่างหนัก ||| และยิ่งกว่าสถานการณ์ความรุนแรงใน 3 จว.ใต้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| จะส่งผลเสียอย่างรุนแรงต่อตัวนายกรัฐมนตรีและตัวรัฐบาลเองอย่างหนัก ||| นอกจากนั้นยังเป็นความผิดพลาดครั้งใหญ่ของตัวนายกรัฐมนตรี รวมไปถึงเจ้าหน้าที่ที่สรุปไปในทิศทางเดียวกัน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ไม่สามารถออกไปหาเสียงได้ ||| เพราะเป็นอันตรายถึงชีวิต
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| นายกรัฐมนตรีไม่มีสิทธิ์ที่จะชี้นำกรณีที่เกิดขึ้นเหมือนกับวันแรกที่จนถึงวันนี้ผ่านไปแล้วยังปิดสำนวนไม่ได้แท้จริงเป็นอุบัติเหตุ ||| ตำรวจจึงปิดไม่ได้เพราะจะไปขัดกับนายกรัฐมนตรี
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ปิดไม่ได้ ||| เพราะจะไปขัดกับนายกรัฐมนตรี
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ไม่ใช่ ||| และไม่ตรง
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| คนที่ทำได้จะต้องมีประสบการณ์ในการทำเรื่องชั่วๆ ||| เช่นคนที่กล้าขว้างระเบิดบ้านตัวเองเมื่ออดีตประสงค์เพื่อตัดตอนข่าวตัวเองและวิธีที่จะตัดตอนข่าวที่โหมกระพือเข้าใส่รัฐบาลคือวิธีเดียวกัน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ตัดตอนข่าวตัวเอง ||| และวิธีที่จะตัดตอนข่าวที่โหมกระพือเข้าใส่รัฐบาลคือวิธีเดียวกัน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อไฟป่าลามมาถึงจุดที่เผาดักไว้ไฟ ||| ก็ไม่ลามไปต่อเนื่อง
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เป็นไปได้ว่าคนที่ใกล้ชิดที่สุดรู้เห็น ||| เพราะเคยทำมาแล้วเมื่อราว 10 ปีที่แล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ทหารร่วมมือกับเอกชน ||| จึงไม่อยู่ในเขตอำนาจทหาร
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เดิมบอกว่าไปวนเวียนหน้าบ้าน ||| แล้ว<*>ก็บอกว่าไม่ได้เวียน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เดิมบอกว่าไปวนเวียนหน้าบ้าน ||| ต่อมาก็บอกว่าไม่ได้เวียน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เรื่องนั้นถูกแต่งแบบไม่กลมกลืนไม่จบ ||| จึงต้องแต่งต่อทุกวัน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| การออกมาคัดค้านการออกมาโจมตีด้วยความสงบ ใครก็ไม่ห่วง ||| แต่การใช้ความรุนแรงพังเวทีที่เชียงใหม่ เอาเจ้าหน้าที่เอาลิ่วล้อเจ้าหน้าที่ไปทำร้ายประชาชนกลางกรุงเทพ
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ผบ.ตร.นิ่ง ||| เพราะนายกกดดันอยู่ข้างบน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ถ้า ผบ.ตร.พูดออกมาก็ถูกปลด ถ้าพูดตามใจนายกก็โกหก ||| เลยต้องนิ่ง
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ถ้าจะเปลี่ยนแปลงอย่างไรจะอยู่ที่ กกต.ชุดใหม่ ||| และถ้าไปดูกระบวนการตอนนี้ กมธ.ตรวจสอบประวัติทุกคน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ถ้า กมธ.เสนอในวันที่ 4 จะต้องด้านหน้าขอเปิดประชุมใหม่ ||| แต่ใครก็คงไม่เรียกร้องความรับผิดชอบเพราะมองว่าไม่ระบุผิดชอบอยู่แล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ใครก็คงไม่เรียกร้องความรับผิดชอบ ||| เพราะมองว่าไม่ระบุผิดชอบอยู่แล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ร.ต.อ.เรืองฤทธิ์ มาลีการ ร้อยเวร สภอ.พระสมุทรเจดีย์ จ.สมุทรปราการ รับแจ้งเหตุมีคนร้ายเข้าไปขโมยหลวงพ่อแก่นจันทร์ซึ่งเป็นพระพุทธรูปศักดิ์สิทธิ์ บนศาลาวัดคลองพระราม ตั้งอยู่หมู่ที่ 13 ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ ||| จึงรายงานให้ผู้บังคับบัญชาทราบ แล้วพร้อมด้วย พ.ต.อ.เชิดชัย ศรศิลป์ ผกก.สภอ.พระสมุทรเจดีย์ พ.ต.ท.วัชรินทร์ ประสพดี รองผกก.ปร.ต.อ.สิริพงศ์ พูลศักดิ์ รอง.สว.สส.เจ้าหน้าที่ฝ่ายสืบสวนไปตรวจสอบที่เกิดเหตุ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| รายงานให้ผู้บังคับบัญชาทราบ ||| แล้วพร้อมด้วย พ.ต.อ.เชิดชัย ศรศิลป์ ผกก.สภอ.พระสมุทรเจดีย์ พ.ต.ท.วัชรินทร์ ประสพดี รองผกก.ปร.ต.อ.สิริพงศ์ พูลศักดิ์ รอง.สว.สส.เจ้าหน้าที่ฝ่ายสืบสวนไปตรวจสอบที่เกิดเหตุ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ต่างเดินทางมาดู ||| และจับกลุ่มส่งเสียงสาปแช่งโจรใจบาปที่ขโมยหลวงพ่อแก่นจันทร์ไป
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| บริเวณหน้าศาลาพบชาวบ้านละแวกใกล้เคียงจำนวนมากกว่า 100 คนที่ทราบข่าวต่างเดินทางมาดูและจับกลุ่มส่งเสียงสาปแช่งโจรใจบาปที่ขโมยหลวงพ่อแก่นจันทร์ไป ||| ส่วนที่เกิดเหตุเป็นศาลาการเปรียญไม้ทรงโบราณขนาดใหญ่ ใต้ถุนโล่ง ผนังด้านในสุดเป็นที่ประดิษฐ์ฐานของพระพุทธรูปปางต่างๆจำนวนหลายองค์
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ที่เกิดเหตุเป็นศาลาการเปรียญไม้ทรงโบราณขนาดใหญ่ ใต้ถุนโล่ง ผนังด้านในสุดเป็นที่ประดิษฐ์ฐานของพระพุทธรูปปางต่างๆจำนวนหลายองค์ ||| ส่วนหลวงพ่อแก่นจันทร์พระพุทธรูป ประดิษฐานอยู่บนโต๊ะไม้ขนาดกว้างยาวประมาณ 1.20 เมตร ได้หายไป พบเพียงรอยนิ้วมือบนโต๊ะเท่านั้นจึงได้ตรวจสอบเพื่อเป็นหลักฐานติดตามตัวคนร้าย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| พบเพียงรอยนิ้วมือบนโต๊ะเท่านั้น ||| จึงได้ตรวจสอบเพื่อเป็นหลักฐานติดตามตัวคนร้าย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ทำด้วยแก่นของต้นไม้จันทน์ ||| จึงมีกลิ่นหอมอบอวล
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ได้ลอยน้ำมาทางคลองบางปลากด ||| ก่อนมาหยุดนิ่งอยู่ที่ท่าน้ำวัดคลองพระรามชาวบ้าน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| หลวงพ่อแก่นจันทร์ได้ลอยน้ำมาทางคลองบางปลากด ก่อนมาหยุดนิ่งอยู่ที่ท่าน้ำวัดคลองพระรามชาวบ้าน ||| จึงอัญเชิญมาประดิษฐานไว้บนศาลาตั้งแต่นั้นมา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นที่สักการะยึดเหนี่ยวจิตใจของชาวบ้านในชุมชนและใกล้เคียงที่มาบนบาน ||| แล้วส่วนมากจะสำเร็จลุล่วงด้วยดี
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เป็นที่สักการะยึดเหนี่ยวจิตใจของชาวบ้านในชุมชนและใกล้เคียงที่มาบนบานแล้วส่วนมากจะสำเร็จลุล่วงด้วยดี ||| จึงขอวอนให้คนที่ขโมยไปนำมาคืนด้วย เพราะเป็นที่ยึดเหนี่ยวจิตใจของคนในชุมชนคลองพระรามมาก
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ขอวอนให้คนที่ขโมยไปนำมาคืนด้วย ||| เพราะเป็นที่ยึดเหนี่ยวจิตใจของคนในชุมชนคลองพระรามมาก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เปิดเผยว่า หลังการสอบสวนพระลูกวัดทราบว่าช่วงที่หายน่าจะเป็นเวลาประมาณ 01.00 -03.00 น.ซึ่งเป็นช่วงที่เงียบสงบ ||| และคาดว่าอย่างไรก็ตามมีบุคคลต้องสงสัยจำนวน 1 คน เป็นชายรูปร่างท้วม ผิวขาว ผมหยักโศก สูงประมาณ 1.60 เมตร อายุประมาณ 50 ปี ขับรถตู้เก่า สีน้ำเงิน ทะเบียนจำได้ 7473
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| สอบสวน ||| และดำเนินคดี
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้เข้าพูดคุยทักทายกับเจ้าหน้าที่และประชาชน ที่ธนาคารกรุงเทพ_สาขายะลา เป็นแห่งแรก ||| พร้อมดูร่องรอยจุดที่เกิดระเบิดอย่างสนใจ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ดูร่องรอยจุดที่เกิดระเบิดอย่างสนใจ ||| จากนั้นไปที่ธนาคารอิสลามแห่งประเทศไทย_สาขายะลา
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เรื่องขวัญและกำลังใจเป็นเรื่องใหญ่ ||| เพราะประชาชนในพื้นที่เสียขวัญและกำลังใจ
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ปัญหาเพียงเล็กน้อย ||| แต่พบว่าการแก้ปัญหา 5 ปีที่ผ่านมาก็ไม่ดีขึ้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ฝ่ายประชาชนก็ควรให้การร่วมมือด้วย การแก้ปัญหาก็น่าจะดีขึ้น ||| ซึ่งขอให้กำลังใจเจ้าหน้าที่ที่ปฏิบัติงานอยู่ในพื้นที่ด้วย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| คงไม่มีข้อเสนอแนะอะไรกับเจ้าหน้าที่ที่ทำงานในพื้นที่ ||| เพราะว่าเจ้าหน้าที่คงจะรู้ปัญหาที่ดีกว่า
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| คงไม่มีข้อเสนอแนะอะไรกับเจ้าหน้าที่ที่ทำงานในพื้นที่ เพราะว่าเจ้าหน้าที่คงจะรู้ปัญหาที่ดีกว่า ||| แต่การแก้ปัญหาในพื้นที่มันหนีไม่พ้น คือ ความร่วมมือของชาวบ้าน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| จะส่งเจ้าหน้าที่ลงมาแก้ไขปัญหามากเท่าไร ||| แต่ตราบใดที่ยังไม่ได้รับความร่วมมือจากประชาชน ก็ไม่มีประโยชน์
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ไว้วางใจ ||| และให้ความร่วมมือ
