['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la postazione multimediale per il pubblico che non funziona già da l' altra settimana ||| in pratica non si acce
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io questa mattino lo ho acceso <*> io questa mattino lo ho acceso il computer ||| se non che a un certo punto è comparso lo schermo blu senza nessuna icona
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| a un certo punto è comparso lo schermo blu senza nessuna icona ||| poi ho provato a spegner lo per poi riaccender lo con la spina
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ho provato a spegner lo per poi riaccender lo con la spina ||| e <*> non si accende
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato a spegner lo per poi riaccender lo con la spina ||| però non si accende
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| mi può solo fare una una prova ||| dovrebbe provare a tenere premuto il pulsante di accensione
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe provare a tenere premuto il pulsante di accensione ||| soltanto che io mi devo staccare da il telefono
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io mi devo staccare da il telefono ||| perchè è leggermente distante
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le dico allora solo cosa fare ||| tener lo premuto a il posto di il pulsante d' accensione
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| si spengono tutte le luci ||| dopo di che provi a riaccender lo
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| 272 ||| in realtà continua a lampeggiare
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| è quello <*> è quello che ho provato prima ||| e non si spegneva
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| lo faccio di nuovo ||| a parte che comunque io ho qui il tecnico adesso
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| lo faccio di nuovo ||| comunque io ho qui il tecnico adesso
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| io ho qui il tecnico adesso ||| il tecnico che che sta arrivando in questo momento qua
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi ha chiesto appunto di aprire la chiamata ||| però siccome che si trova praticamente da noi sarebbe venuto immediatamente a veder lo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome che si trova praticamente da noi ||| sarebbe venuto immediatamente a veder lo
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| schiacciare il pulsante tenendo lo premuto per cinque secondi ||| però in realtà non si spegne
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| m' ha chiesto in pratica di schiacciare il pulsante tenendo lo premuto per cinque secondi che però in realtà non si spegne ||| e poi m' ha detto di
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| m' ha chiesto in pratica di schiacciare il pulsante tenendo lo premuto per cinque secondi che però in realtà non si spegne ||| poi m' ha detto di
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non so se vuole parlar ci lei ||| ma se già intervenendo lui
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io gli faccio assegnare la chiamata ||| visto che sta verificando <*> lui
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| difficilmente leggibile ||| le icone si vedevano ma con difficoltà
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| le icone si vedevano ma con difficoltà ||| e <*> questo funzionava
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| le icone si vedevano ma con difficoltà ||| poi questo funzionava
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| avevo fatto qualche ||| ho aperto la posta
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho aperto la posta ||| poi <*> s' è spento
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho aperto la posta ||| però <*> s' è spento
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| s' è spento ||| e non riesco più a riaccender lo adesso
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non si accende <*> non si accende proprio più ||| compare la scritta vado a dormire tanti saluti
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| 124 ||| ma il il monitor è buio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| un attimo ||| perché <*> volevo vedere se segnalava qualche errore
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| visto che <*> visto che volevo vedere se segnalava qualche errore ||| mi risponde in rete
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| volevo vedere se segnalava qualche errore ||| visto che io comunque riesco a vedere eventuali messaggi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ce l' ho qua <*> quindi ||| il computer è a posto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sia il cavo elettrico a duecentoventi volt che l' altro cavetto piccolo sono ben collegati <*> quindi ||| tutto collegato
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| tutto collegato ||| mi sa che è il monitor lì che ha qualche problema
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome riesco a collegar mi ||| volevo solo provare a riavviar le un attimo il sistema
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| adesso dovrebbe riavviar si ||| mi dica solo se su il monitor le visualizza qualcosa
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho premuto il pulsante di accensione ||| è comparsa la scritta <BRAND>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| è comparsa la scritta <BRAND> ||| e <*> è comparsa l' altra icona quella piccola
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| è comparsa la scritta <BRAND> ||| poi <*> è comparsa l' altra icona quella piccola
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| è comparsa la scritta <BRAND> ||| però è comparsa l' altra icona quella piccola
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è comparsa la scritta <BRAND> ||| quindi lei ha visualizzato solo <BRAND> e basta
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| lei per non ha per caso la possibilità di provare a collegare un altro monitor ||| riesce a far mi questa prova
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ne posso smontare uno ||| mi ci vuole un pò di tempo naturalmente
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| <DIGIT> <NUM> <*> <DIGIT> <NUM> <DIGIT> <DIGIT> <DIGIT> <*> <DIGIT> <NUM> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> ||| oppure un attimo le do il cellulare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| le do il cellulare ||| che sono in giro in i laboratori
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| lei si chiama ||| e mi dica
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| facciamo le <NUM> ||| ci sentiamo <*> ci sentiamo allora domani verso le <NUM> <*> ci sentiamo allora domani verso le <NUM> domani verso le <NUM>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| capire se è un problema di il monitor o di la scheda video ||| io le mando <*> io le mando poi l' assistenza <*> io le mando poi l' assistenza l' assistenza
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho aperto una remedy web giusto per per una richiesta su un' assistenza per il plotter ||| poi <*> è stata registrata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| l' altro sarebbe anche un pò urgente ||| perchè abbiamo un pò di consegne da fare presso gli utenti
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| abbiamo un pò di consegne da fare presso gli utenti ||| se non ci funziona il plotter c' è un pò di problema
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| l' inventario che vedo censimento è il <NUM> <NUM> <*> <NUM> ||| e <*> ho messo anche il numero di matricola
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| l' inventario che vedo censimento è il <NUM> <NUM> <*> <NUM> ||| poi ho messo anche il numero di matricola
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| adesso tanto vedo le mie colleghe stanno già registrando comunque ||| stanno già gestendo la remedy
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| le mie colleghe <*> le mie colleghe stanno già gestendo la remedy ||| io glie la sollecito
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| noi abbiamo tre computer ||| e nessuno di i tre
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| nessuno di i tre ||| a parte che uno non funziona proprio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| uno non funziona proprio ||| non si accende nemmeno
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non si accende nemmeno ||| però gli altri due che sono comunque funzionanti non non si riesce ad accedere a Intranet
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sì <*> scritto tutto in inglese ||| non riusciamo a capire
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| avrei bisogno solo di il censimento di il settore informatica di il computer ||| e cosa le le serve praticamente
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| avrei bisogno solo di il censimento di il settore informatica di il computer ||| e <*> ce l' ha <*> RWS
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io adesso sono su questo <*> PC ||| però c' è anche l' altro
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io adesso sono su questo <*> io adesso sono su questo PC però c' è anche l' altro ||| però <*> se va uno va anche l' altro
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| se va uno va anche l' altro poi ||| dovrebbe essere così
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 196 ||| perché probabilmente è un problema che è rimasto da quando è stata cambiata la la Intranet
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| probabilmente è un problema che è rimasto da quando ||| è stata cambiata la la Intranet
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| probabilmente è un problema che è rimasto da quando è stata cambiata la la Intranet ||| ho paura che sia dovuto a quello
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| vediamo se riesco a collegar mi ||| perché è molto lento
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| lentissimo purtroppo ||| è così infatti
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| vanno abilitati determinati indirizzi IP ||| e probabilmente i vostri non sono stati correttamente abilitati
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| devo verificare con i sistemisti ||| probabilmente ci sono di gli indirizzi IP che non sono stati correttamente abilitati
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| faccio solo un' operazione qui ||| perché <*> devo recuperar mi un dato che è <*> devo recuperar mi un dato che è quella di il gateway
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| se riesco ||| perché lì ci mette <*> parecchio
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| devo recuperar mi un dato ||| e se vuole <*> e se vuole glie lo do io
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| <NUM> <NUM> per tutti c' è scritto quindi ||| penso che sia tra i computer <NUM> <NUM>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ce l' ha questo dato ||| perché non riesco a raggiunger lo con l' IP
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non riesco a raggiunger lo con l' IP ||| dovrebbe essere raggiungibile
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| in sede di stampa non riesco a validare ||| perchè non mi da la voce valida piano
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non mi da la voce valida piano ||| non non compare proprio la voce
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non compare ||| c' è solo stampa
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| avrei bisogno solo di un recapito telefonico ||| perchè giro una segnalazione per l' assistenza
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| le metto anche l' urgenza in la chiamata ||| pensavo fosse una cosa che purtroppo si potesse fare subito
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 143 ||| perche io non ho accesso a la procedura
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io non ho accesso a la procedura per quello ||| devo per forza far la richiamare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| tra quanto ||| perchè io tra mezz' ora esco
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io tra mezz' ora esco ||| in il pomeriggio <*> in il pomeriggio poi c' è <*> in il pomeriggio poi c' è c' è
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non ci sono ||| non la troviamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| 184 ||| fino a <WD> <*> fino a <WD> poi non ci sono <*> fino a <WD> poi non ci sono non ci sono
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| fino a <WD> poi non ci sono ||| perchè <WD> è festa
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non so neanche se ci sono i tecnici ||| perchè non siamo proprio in la stessa sede
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| guardi un pò dovrebbe ||| esser ci l' etichetta di il settore informatica <*> esser ci l' etichetta di il settore informatica su la base
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è proprio scollegata ||| in il senso che è ancora impacchettata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| no non non no ||| perchè ho già provato una volta ho fatto un casino
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho già provato una volta ||| ho fatto un casino
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ho già provato una volta ho fatto un casino allora ||| è per quello che vi ho chiamato
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è per quello che vi ho chiamato ||| ho proprio bisogno che <*> qualcuno <*> venga
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| se mi può avvertire ||| perchè <*> il <NUM> poi sono in ferie
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| visto che ci sono solo io e nessun altro può entrare in ufficio ||| se qualcuno mi avverte prima
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ci sono solo io ||| e nessun altro può entrare in ufficio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| nessun altro può entrare in ufficio ||| perchè è chiuso a chiave
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le lascio il numero di intervento ||| allora la richiesta è la numero <NUM> <*> allora la richiesta è la numero <NUM> <NUM> <DIGIT> <DIGIT>
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| noi siamo in <LOC> <LOC> <NUM> ||| questa è la mia sede
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| questa è la mia sede ||| però abbiamo un computer ancora delle di la vecchia guardia
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| questa questo computer non è collegato a la rete ||| perchè il palazzo non è in rete
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| questo computer non è collegato a la rete ||| però la <*> però la macchina il tecnico di la fotocopiatrice non ha potuto attivar la
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la <*> macchina il tecnico di la fotocopiatrice non ha potuto attivar la ||| perchè non può installare i drive su il computer
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| per mettere il cavetto deve avere la scheda di rete ||| secondo me hanno tutte le nostre macchine la scheda di rete
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non è ancora stata fisicamente collegata ||| però ha il cavetto che è un cavetto di rete
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ha il cavetto che è un cavetto di rete ||| non una porta seriale
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non una porta seriale ||| ma un cavetto di quelli tipo telefonici
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è un cavetto di rete non una porta seriale <*> quindi ||| è è questa stampante è dotata è sicuramente di una scheda di rete
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| quindi è è questa stampante è dotata è sicuramente di una scheda di rete ||| è <*> una stampante che dovrà essere predisposta per diventare stampante di rete
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| è possibile ||| però appunto preferirei che il tecnico chiamasse il tecnico di il <ORG> chiamasse direttamente la sede
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| preferirei che il tecnico chiamasse il tecnico di il <ORG> chiamasse direttamente la sede ||| le do il numero di telefono
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| è di il museo ||| ma è stata collocata lassù
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è urgente ||| perchè dobbiamo attivar la per di le mostre
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| 478 ||| ma in questo momento non ho sotto mano il il numero
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| 497 ||| però se può telefonare fare questa telefonata il tecnico risolve direttamente là
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| ha marca e modello ||| o chiedo poi a lei
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| se chiede lei mi fa <*> se chiede lei mi fa un piacere ||| perchè per me io devo fare tutto un' altra serie di cose di scadenze e questi sono di gli intoppi
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| io devo fare tutto un' altra serie di cose di scadenze ||| e questi sono di gli intoppi
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| vi spiegate ||| e <*> è competente a sufficienza per poter vi descrivere la situazione
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| vi spiegate ||| oltretutto è competente a sufficienza per poter vi descrivere la situazione
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la chiamata è fatta a mio nome ||| perchè il computer comunque è registrato a mio nome come dipendente regionale
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ha un problema su la diretta di il <ORG> <ORG> ||| allora non si avvia la diretta
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| quando <*> mi compare una finestra sì in <SW> <SW> <SW> che dice che è impossibile riprodurre il file ||| io clicco su il sito di il <ORG> <ORG> per poter accedere a la diretta
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| dice che è impossibile riprodurre il file ||| chiede di effettuare la connessione ad internet o inserire il supporto rimovibile in cui è contenuto il file
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| effettuare la connessione ad internet ||| o inserire il supporto rimovibile in cui è contenuto il file
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| effettuare la connessione ad internet o inserire il supporto rimovibile in cui è contenuto il file ||| quindi provare a riprodurre il file
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ha un problema su la diretta di il <ORG> <ORG> ||| è un problema <*> è un problema però solo mio <*> è un problema però solo mio solo mio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è un problema però solo mio ||| perchè il mio collega in la stessa stanza si connette tranquillamente
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sì sì sì allora ||| provi solo a fare questo
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è l' unica cosa che non c' è non c' è ||| ho selezioni interfaccia servizi premium copia su CD sintonizzatore catalogo copia guida informazioni di esecuzione e basta
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| le si apre un menù <*> strumenti <*> strumenti <*> opzioni ||| verso il basso dovrebbe trovare un' opzione con scritto connetti ad internet
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| metta il segno di spunta ||| poi faccia applica
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| faccia applica ||| adesso dovrebbe chiuder lo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiuder lo ||| e provare nuovamente ad accedere a la diretta video
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| adesso non c' è la diretta ||| però fà gia tutta un' altra videata
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non riuscite a visualizzare le timbrature ||| cioè in il senso che noi abbiamo le quattro timbrature giornaliere <*> cioè in il senso che noi abbiamo le quattro timbrature giornaliere però non ci compare il saldo giornaliero di il dell' orario effettuato
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non riuscite a visualizzare le timbrature ||| in il senso che noi abbiamo le quattro timbrature giornaliere <*> in il senso che noi abbiamo le quattro timbrature giornaliere però non ci compare il saldo giornaliero di il dell' orario effettuato
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| noi abbiamo le quattro timbrature giornaliere quindi sì quella a l' ingresso le pa le <DIGIT> di pausa mensa e quella di uscita ||| però non ci compare il saldo giornaliero di il dell' orario effettuato
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non ci compare il saldo giornaliero di il dell' orario effettuato ||| non mi compare <*> non mi compare a fine settimana il saldo di le ore settimanali che ho appunto effettuato
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| non mi compare <*> non mi compare a fine settimana il saldo di le ore settimanali che ho appunto effettuato ||| ho <*> ad esempio preso le ferie la settimana scorsa non compare il codice di le ferie <*> ad esempio preso le ferie la settimana scorsa non compare il codice di le ferie preso le ferie la settimana scorsa non compare il codice di le ferie
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho ad esempio preso le ferie la settimana scorsa ||| non compare il codice di le ferie
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non compare il codice di le ferie ||| tutti i dati che puntualmente ho verificato a l' ufficio personale <*> tutti i dati che puntualmente ho verificato a l' ufficio personale invece sono stati sono stati inseriti <*> tutti i dati che puntualmente ho verificato a l' ufficio personale invece sono stati sono stati inseriti sono stati sono stati inseriti
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| lei riesce ad entrare in le timbrature ||| però <*> non vede i dati aggiornati
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| non vede i dati aggiornati ||| ad esempio non so lei se adesso <*> ad esempio non so lei se adesso sta vedendo quello che vedo io
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| non vede i dati aggiornati ||| il <WD> <NUM> tanto per dir ne una io lì avevo <*> il <WD> <NUM> tanto per dir ne una io lì avevo tanto per dir ne una <*> il <WD> <NUM> tanto per dir ne una io lì avevo tanto per dir ne una preso di il permesso che <*> il <WD> <NUM> tanto per dir ne una io lì avevo tanto per dir ne una preso di il permesso che è stato puntualmente codificato e inserito come codice da la persona addetta a il personale di il <*> il <WD> <NUM> tanto per dir ne una io lì avevo tanto per dir ne una preso di il permesso che è stato puntualmente codificato e inserito come codice da la persona addetta a il personale di il mio di la mia direzione ma lì non mi compare nulla
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| il <WD> <NUM> tanto per dir ne una io lì avevo <*> il <WD> <NUM> tanto per dir ne una io lì avevo preso di il permesso che <*> il <WD> <NUM> tanto per dir ne una io lì avevo preso di il permesso che è stato puntualmente codificato e inserito come codice da la persona addetta a il personale di il <*> il <WD> <NUM> tanto per dir ne una io lì avevo preso di il permesso che è stato puntualmente codificato e inserito come codice da la persona addetta a il personale di il mio di la mia direzione ||| ma lì non mi compare nulla
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| lì non mi compare nulla ||| così <*> il <WD> se lei vede non c' è il totale di le ore giornaliere così anche il <WD>
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| lì non mi compare nulla ||| ad esempio il <WD> <*> ad esempio il <WD> non c' è il totale di le ore giornaliere così anche il <WD>
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| lì non mi compare nulla ||| in la settimana successiva <*> in la settimana successiva ad esempio sono state inserite altre codifiche e anche lì queste non appaiono <*> in la settimana successiva ad esempio sono state inserite altre codifiche e anche lì queste non appaiono sono state inserite altre codifiche e anche lì queste non appaiono
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| in la settimana successiva ad esempio sono state inserite altre codifiche ||| e anche lì queste non appaiono
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| anche lì queste non appaiono ||| e <*> oggi stesso ieri stesso ad esempio o a le timbrature non c' è comunque una una non sono aggiornati comunque i dati
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| lì non mi compare nulla ||| oggi stesso ieri stesso <*> oggi stesso ieri stesso ad esempio o a le timbrature non c' è comunque una una non sono aggiornati comunque i dati <*> oggi stesso ieri stesso ad esempio o a le timbrature non c' è comunque una una non sono aggiornati comunque i dati o a le timbrature non c' è comunque una una non sono aggiornati comunque i dati
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| a il personale risulta tutto inserito correttamente tutto ||| quanto meno a il personale risulta quelle che sono sia le ferie che i codici
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sono inseriti da loro ||| perchè avendo preso io di il permesso o avendo io preso ferie loro devono comunque inserir li manualmente
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| fino a il <NUM> va tutto bene ||| compare tutto da il <NUM> in avanti
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| compare tutto da il <NUM> in avanti ||| praticamente ho solo le timbrature senza senza tutto quello che è in acce
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| praticamente ho solo le timbrature senza senza tutto quello che è in acce ||| ad esempio da il <DIGIT> in avanti fino a tutta la settimana di il <NUM> io ho preso ferie e dovrebbe con quanto meno comparire quel <NUM> che lei ha visto non so a il <WD> <NUM> che è stato sicuramente inserito a conferma di la <*> ad esempio da il <DIGIT> in avanti fino a tutta la settimana di il <NUM> io ho preso ferie e dovrebbe con quanto meno comparire quel <NUM> che lei ha visto non so a il <WD> <NUM> che è stato sicuramente inserito a conferma di la però non non ha non compare
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ad esempio da il <DIGIT> in avanti fino a tutta la settimana di il <NUM> io ho preso ferie ||| e dovrebbe con quanto meno comparire quel <NUM> che lei ha visto non so a il <WD> <NUM>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe con quanto meno comparire quel <NUM> che lei ha visto non so a il <WD> <NUM> ||| però non non ha non compare come anche la la timbratura giornaliera di ieri di il <NUM>
